match_uuid,Round,Team,Race,Name,Type,Level,SPP_gain,playerID,Opponent,Opponent_Race,BLK,AVBr,KO,CAS,Kills,TD,Pass,Pass_m,Catch,Int,Carry_m,Surf,FP
10004367ca,1,Bash Incorporated,Orc,Rikhag,Blitzer,7,7,9759693,Drakkar's Dominators,Norse,8,8,1,1,0,0,0,0,0,0,0,0,8
10004367ca,1,Bash Incorporated,Orc,Angry Angus,Lineman,4,0,14347847,Drakkar's Dominators,Norse,7,0,0,0,0,0,0,0,0,0,0,0,2
10004367ca,1,Bash Incorporated,Orc,Varag Iron'Shadez,Black Orc,3,2,13014499,Drakkar's Dominators,Norse,11,1,0,1,0,0,0,0,0,0,0,0,5
10004367ca,1,Bash Incorporated,Orc,Ugrnee,Blitzer,6,0,9759691,Drakkar's Dominators,Norse,6,0,0,0,0,0,0,0,0,0,0,0,2
10004367ca,1,Bash Incorporated,Orc,Muffa Metal'Mouf,Black Orc,3,2,16264167,Drakkar's Dominators,Norse,7,1,0,1,0,0,0,0,0,0,0,0,4
10004367ca,1,Bash Incorporated,Orc,Resentful Rick,Lineman,2,0,19401044,Drakkar's Dominators,Norse,2,3,1,0,1,0,0,0,0,0,0,0,6
10004367ca,1,Bash Incorporated,Orc,Livid Lance,Lineman,3,0,16738498,Drakkar's Dominators,Norse,0,0,0,0,0,0,0,0,0,0,0,0,0
10004367ca,1,Bash Incorporated,Orc,Morgru,Blitzer,6,3,9759690,Drakkar's Dominators,Norse,2,0,0,0,0,1,0,0,1,0,20,0,7
10004367ca,1,Bash Incorporated,Orc,Roger the Rocket,Thrower,6,2,9759673,Drakkar's Dominators,Norse,1,1,0,0,0,0,2,20,0,0,24,0,8
10004367ca,1,Bash Incorporated,Orc,Furious Fred,Lineman,2,0,17897976,Drakkar's Dominators,Norse,1,1,1,0,0,0,0,0,0,0,0,0,3
10004367ca,1,Bash Incorporated,Orc,Graoth,Blitzer,6,5,9759692,Drakkar's Dominators,Norse,6,5,1,1,0,1,0,0,1,0,50,0,13
10004367ca,1,Bash Incorporated,Orc,Morglum Gold'Toof,Black Orc,5,0,9760386,Drakkar's Dominators,Norse,5,2,0,0,0,0,0,0,0,0,0,0,2
10004367ca,1,Bash Incorporated,Orc,Smaug Scar'Fase,Black Orc,4,0,15265964,Drakkar's Dominators,Norse,0,0,0,0,0,0,0,0,0,0,0,0,0
10004367ca,1,Drakkar's Dominators,Norse,All Aboot the Hamiltons,Lineman,2,5,21250808,Bash Incorporated,Orc,3,0,0,0,0,0,0,0,0,0,0,0,1
10004367ca,1,Drakkar's Dominators,Norse,PLAYER_NAMES_CHAMPION_WILHELM,Star Player,1,0,49,Bash Incorporated,Orc,6,1,0,0,0,0,0,0,0,0,10,0,4
10004367ca,1,Drakkar's Dominators,Norse,Skallafrear,Lineman,1,0,47,Bash Incorporated,Orc,0,0,0,0,0,0,0,0,0,0,0,0,0
10004367ca,1,Drakkar's Dominators,Norse,Got to the Party Late,Lineman,2,0,19478675,Bash Incorporated,Orc,2,2,2,0,0,0,0,0,1,0,0,0,6
10004367ca,1,Drakkar's Dominators,Norse,Snowballa,Yhetee,6,2,13667644,Bash Incorporated,Orc,11,3,1,1,0,0,0,0,0,0,0,0,7
10004367ca,1,Drakkar's Dominators,Norse,PLAYER_NAMES_CHAMPION_ICEPELTHAMMERBLOW,Unknown playertype,1,0,48,Bash Incorporated,Orc,10,2,0,0,0,0,0,0,0,0,0,0,3
10004367ca,1,Drakkar's Dominators,Norse,Óspakr Pórólfr,Lineman,4,0,11957949,Bash Incorporated,Orc,2,0,0,0,0,0,0,0,0,0,0,0,1
10004367ca,1,Drakkar's Dominators,Norse,Absteinn,Lineman,1,0,46,Bash Incorporated,Orc,1,0,0,0,0,0,0,0,0,0,0,0,1
10004367ca,1,Drakkar's Dominators,Norse,Hiruma,Lineman,1,1,22542471,Bash Incorporated,Orc,3,0,0,0,0,0,1,2,0,0,40,0,5
10004367ca,1,Drakkar's Dominators,Norse,The Boy Named Sue,Lineman,1,0,22412008,Bash Incorporated,Orc,4,0,0,0,0,0,0,0,0,0,0,0,1
10004367ca,1,Drakkar's Dominators,Norse,Fido Úlfhedinn,Ulfwerener,5,0,11957940,Bash Incorporated,Orc,5,0,0,0,0,0,0,0,0,0,0,0,1
10004367ca,1,Drakkar's Dominators,Norse,Hálfdanvarôr,Lineman,1,0,45,Bash Incorporated,Orc,0,0,0,0,0,0,0,0,0,0,0,0,0
10004367ca,1,Drakkar's Dominators,Norse,Ptor the Crazed,Berserker,6,0,13136692,Bash Incorporated,Orc,1,0,0,0,0,0,0,0,0,0,0,0,1
100043689f,1,Shadowhill Cowboys,Dark Elf,Aethnear,Lineman,2,5,20081215,Ratfuckers United,Skaven,0,0,0,0,0,0,0,0,0,0,0,0,0
100043689f,1,Shadowhill Cowboys,Dark Elf,Galdion,Blitzer,3,0,19614688,Ratfuckers United,Skaven,3,1,1,0,0,0,0,0,0,0,0,0,3
100043689f,1,Shadowhill Cowboys,Dark Elf,Marnaen,Blitzer,3,0,17064752,Ratfuckers United,Skaven,6,2,0,0,0,0,0,0,0,0,14,0,4
100043689f,1,Shadowhill Cowboys,Dark Elf,Anmael,Lineman,2,3,16073239,Ratfuckers United,Skaven,2,1,0,0,0,1,0,0,0,0,10,0,6
100043689f,1,Shadowhill Cowboys,Dark Elf,Hasbean,Blitzer,4,0,16208018,Ratfuckers United,Skaven,5,3,0,0,0,0,0,0,0,0,0,0,3
100043689f,1,Shadowhill Cowboys,Dark Elf,Limtin,Lineman,1,0,21148907,Ratfuckers United,Skaven,0,1,1,0,0,0,0,0,0,0,0,0,2
100043689f,1,Shadowhill Cowboys,Dark Elf,Nenhor,Lineman,3,2,13136820,Ratfuckers United,Skaven,2,1,0,1,0,0,0,0,0,0,0,0,3
100043689f,1,Shadowhill Cowboys,Dark Elf,Maris,Lineman,3,0,18939001,Ratfuckers United,Skaven,6,2,1,0,0,0,0,0,0,0,10,0,5
100043689f,1,Shadowhill Cowboys,Dark Elf,Ruthsoniella,Witch Elf,6,2,8939223,Ratfuckers United,Skaven,12,5,2,1,0,0,0,0,0,0,0,0,9
100043689f,1,Shadowhill Cowboys,Dark Elf,Mendar,Blitzer,4,0,15680676,Ratfuckers United,Skaven,3,2,1,0,0,0,0,0,1,0,6,0,6
100043689f,1,Shadowhill Cowboys,Dark Elf,Rynnear,Runner,6,1,8972538,Ratfuckers United,Skaven,0,0,0,0,0,0,1,2,0,0,50,0,4
100043689f,1,Ratfuckers United,Skaven,Dalek,Lineman,3,5,12345349,Shadowhill Cowboys,Dark Elf,1,1,0,0,0,0,0,0,0,0,0,0,2
100043689f,1,Ratfuckers United,Skaven,Sloppy Joe (2nd term),Lineman,3,0,15097186,Shadowhill Cowboys,Dark Elf,6,1,1,0,0,0,0,0,0,0,0,0,4
100043689f,1,Ratfuckers United,Skaven,Chainsaw,Gutter Runner,6,4,12343694,Shadowhill Cowboys,Dark Elf,1,1,0,0,0,1,1,6,0,0,50,0,9
100043689f,1,Ratfuckers United,Skaven,Sniuk,Lineman,1,0,47,Shadowhill Cowboys,Dark Elf,2,0,0,0,0,0,0,0,0,0,0,0,1
100043689f,1,Ratfuckers United,Skaven,Kreecut,Lineman,1,0,46,Shadowhill Cowboys,Dark Elf,1,0,0,0,0,0,0,0,0,0,0,0,1
100043689f,1,Ratfuckers United,Skaven,Blackout (2nd term),Storm Vermin,1,2,20081230,Shadowhill Cowboys,Dark Elf,6,2,1,0,0,0,0,0,0,1,0,0,9
100043689f,1,Ratfuckers United,Skaven,Knikit,Lineman,1,0,45,Shadowhill Cowboys,Dark Elf,0,0,0,0,0,0,0,0,0,0,0,0,0
100043689f,1,Ratfuckers United,Skaven,Voramute Squeek,Lineman,2,0,48,Shadowhill Cowboys,Dark Elf,1,1,0,0,0,0,0,0,0,0,0,0,2
100043689f,1,Ratfuckers United,Skaven,Carlo Gorgonzola,Gutter Runner,5,0,12133709,Shadowhill Cowboys,Dark Elf,9,4,1,0,0,0,0,0,0,0,54,0,7
100043689f,1,Ratfuckers United,Skaven,Feta Costello,Gutter Runner,4,0,12133710,Shadowhill Cowboys,Dark Elf,1,0,0,0,0,0,0,0,0,0,12,0,2
100043689f,1,Ratfuckers United,Skaven,Bomber,Gutter Runner,6,3,12343693,Shadowhill Cowboys,Dark Elf,0,0,0,0,0,1,0,0,1,0,20,0,6
100043689f,1,Ratfuckers United,Skaven,Al Provolone,Storm Vermin,5,0,12133705,Shadowhill Cowboys,Dark Elf,5,3,0,0,0,0,0,0,0,0,0,0,3
10004369a1,1,"Et Tu, Eric?",Khemri,James III of Scotland,Tomb Guardian,1,5,21802316,TARDIS,Lizardmen,6,0,0,0,0,0,0,0,0,0,0,0,2
10004369a1,1,"Et Tu, Eric?",Khemri,Simon of Sudbury,Skeleton,2,0,15021262,TARDIS,Lizardmen,1,3,0,0,0,0,0,0,0,0,0,0,3
10004369a1,1,"Et Tu, Eric?",Khemri,John III Comyn,Skeleton,3,2,15021260,TARDIS,Lizardmen,2,2,0,1,0,0,0,0,0,0,0,1,5
10004369a1,1,"Et Tu, Eric?",Khemri,Krystyna Skarbek,Skeleton,2,0,19660818,TARDIS,Lizardmen,0,0,0,0,0,0,0,0,0,0,0,0,0
10004369a1,1,"Et Tu, Eric?",Khemri,Ross McWhirter,Thro Ra,1,1,21016924,TARDIS,Lizardmen,1,0,0,0,0,0,1,4,0,0,10,0,5
10004369a1,1,"Et Tu, Eric?",Khemri,Henry Hughes Wilson,Blitz Ra,2,0,16976198,TARDIS,Lizardmen,8,0,0,0,0,0,0,0,0,0,0,0,2
10004369a1,1,"Et Tu, Eric?",Khemri,Archbishop James Sharp,Blitz Ra,2,0,16533743,TARDIS,Lizardmen,5,0,0,0,0,0,0,0,0,0,0,0,1
10004369a1,1,"Et Tu, Eric?",Khemri,Paddy Wilson,Skeleton,1,0,19940271,TARDIS,Lizardmen,0,0,0,0,0,0,0,0,0,0,0,0,0
10004369a1,1,"Et Tu, Eric?",Khemri,James I of Scotland,Tomb Guardian,1,0,20705498,TARDIS,Lizardmen,8,0,0,0,0,0,0,0,0,0,0,0,2
10004369a1,1,"Et Tu, Eric?",Khemri,Edward the Martyr,Tomb Guardian,3,0,15021107,TARDIS,Lizardmen,6,0,0,0,0,0,0,0,0,0,0,0,2
10004369a1,1,"Et Tu, Eric?",Khemri,Duke of Buckingham ,Thro Ra,4,0,16138128,TARDIS,Lizardmen,1,0,0,0,0,0,0,0,1,0,4,0,4
10004369a1,1,"Et Tu, Eric?",Khemri,Sir John Cavendish,Skeleton,3,0,15021263,TARDIS,Lizardmen,0,0,0,0,0,0,0,0,0,0,0,0,0
10004369a1,1,"Et Tu, Eric?",Khemri,Henry VI of England,Tomb Guardian,1,0,21801147,TARDIS,Lizardmen,5,1,0,0,0,0,0,0,0,0,0,0,2
10004369a1,1,TARDIS,Lizardmen,Xhozh,Skink,1,5,46,"Et Tu, Eric?",Khemri,0,0,0,0,0,0,0,0,0,0,0,0,0
10004369a1,1,TARDIS,Lizardmen,Martha Jones,Saurus,5,0,12434261,"Et Tu, Eric?",Khemri,6,2,1,0,0,0,0,0,0,0,0,0,4
10004369a1,1,TARDIS,Lizardmen,Tenquaxtec,Skink,1,0,47,"Et Tu, Eric?",Khemri,0,0,0,0,0,0,0,0,0,0,0,0,0
10004369a1,1,TARDIS,Lizardmen,The Master (Ex-Missy),Saurus,4,2,14652027,"Et Tu, Eric?",Khemri,5,2,0,1,0,0,0,0,0,0,0,0,3
10004369a1,1,TARDIS,Lizardmen,Captain Jack Harkness #2,Skink,5,1,15972219,"Et Tu, Eric?",Khemri,0,0,0,0,0,0,1,6,0,0,4,0,4
10004369a1,1,TARDIS,Lizardmen,Amy Pond,Saurus,5,2,12434260,"Et Tu, Eric?",Khemri,7,1,0,1,0,0,0,0,0,0,0,0,4
10004369a1,1,TARDIS,Lizardmen,Rose Tyler,Saurus,5,0,12434259,"Et Tu, Eric?",Khemri,8,1,1,0,0,0,0,0,0,0,0,0,4
10004369a1,1,TARDIS,Lizardmen,Mickey Smith,Skink,3,3,20082634,"Et Tu, Eric?",Khemri,0,0,0,0,0,1,0,0,1,0,76,0,7
10004369a1,1,TARDIS,Lizardmen,Bill Potts,Saurus,2,0,19000359,"Et Tu, Eric?",Khemri,4,0,0,0,0,0,0,0,0,0,0,1,3
10004369a1,1,TARDIS,Lizardmen,Clara Oswald,Saurus,4,3,12434262,"Et Tu, Eric?",Khemri,6,1,0,0,0,1,0,0,0,0,0,2,10
10004369a1,1,TARDIS,Lizardmen,The 3rd Doctor,Kroxigor,1,0,22775438,"Et Tu, Eric?",Khemri,3,0,0,0,0,0,0,0,0,0,0,0,1
10004355fa,1,The Emperor says...,Chaos Dwarf,It's not a story,Hobgoblin,2,5,18484723,Catastrophy,Chaos,0,0,0,0,0,0,0,0,0,0,0,0,0
10004355fa,1,The Emperor says...,Chaos Dwarf,"It's treason, then. ",Hobgoblin,1,0,22775450,Catastrophy,Chaos,0,0,0,0,0,0,0,0,0,0,0,0,0
10004355fa,1,The Emperor says...,Chaos Dwarf,Let the Hate,Bull Centaur,5,0,14300457,Catastrophy,Chaos,1,0,0,0,0,0,0,0,0,0,0,0,1
10004355fa,1,The Emperor says...,Chaos Dwarf,Use it!,Blocker,4,0,14300463,Catastrophy,Chaos,3,1,1,0,0,0,0,0,0,0,0,0,3
10004355fa,1,The Emperor says...,Chaos Dwarf,Take your Jedi weapon,Blocker,4,0,14300462,Catastrophy,Chaos,4,2,1,0,0,0,0,0,0,0,0,0,3
10004355fa,1,The Emperor says...,Chaos Dwarf,Flow through you,Bull Centaur,2,3,21986039,Catastrophy,Chaos,1,0,0,0,0,1,0,0,0,0,10,0,5
10004355fa,1,The Emperor says...,Chaos Dwarf,The Tragedy of Darth,Hobgoblin,5,3,14300466,Catastrophy,Chaos,0,0,0,0,0,1,0,0,0,0,48,0,4
10004355fa,1,The Emperor says...,Chaos Dwarf,Did you ever hear,Hobgoblin,2,0,16607906,Catastrophy,Chaos,1,1,0,0,0,0,0,0,0,0,0,0,2
10004355fa,1,The Emperor says...,Chaos Dwarf,The Alliance... will die,Blocker,2,0,21085490,Catastrophy,Chaos,0,0,0,0,0,0,0,0,0,0,0,0,0
10004355fa,1,The Emperor says...,Chaos Dwarf,Everything is proceeding,Blocker,2,0,22299251,Catastrophy,Chaos,4,2,1,0,0,0,0,0,0,0,0,0,3
10004355fa,1,The Emperor says...,Chaos Dwarf,"Good, good",Blocker,5,7,15182621,Catastrophy,Chaos,7,3,0,2,0,1,0,0,0,0,24,0,10
10004355fa,1,The Emperor says...,Chaos Dwarf,Strike me down with it,Blocker,4,0,16832627,Catastrophy,Chaos,2,3,2,0,0,0,0,0,0,0,0,0,5
10004355fa,1,The Emperor says...,Chaos Dwarf,I AM THE SENATE,Hobgoblin,2,0,16136745,Catastrophy,Chaos,0,4,0,0,0,0,0,0,0,0,0,0,2
10004355fa,1,Catastrophy,Chaos,PLAYER_NAMES_CHAMPION_LORDBORAKTHEDESPOILER,Star Player,1,5,48,The Emperor says...,Chaos Dwarf,0,0,0,0,0,0,0,0,0,0,0,0,0
10004355fa,1,Catastrophy,Chaos,Blake,Beastman,1,0,21858821,The Emperor says...,Chaos Dwarf,3,0,0,0,0,0,0,0,0,0,0,0,1
10004355fa,1,Catastrophy,Chaos,Thishnogor,Beastman,1,0,47,The Emperor says...,Chaos Dwarf,0,0,0,0,0,0,0,0,0,0,0,0,0
10004355fa,1,Catastrophy,Chaos,Monty,Chaos Warrior,6,0,13913826,The Emperor says...,Chaos Dwarf,3,4,0,0,0,0,0,0,0,0,0,0,3
10004355fa,1,Catastrophy,Chaos,Puar,Beastman,1,0,22636656,The Emperor says...,Chaos Dwarf,3,0,0,0,0,0,0,0,0,0,0,0,1
10004355fa,1,Catastrophy,Chaos,Grumpy,Beastman,3,0,13913828,The Emperor says...,Chaos Dwarf,4,1,1,0,0,0,0,0,0,0,0,0,3
10004355fa,1,Catastrophy,Chaos,Honey Bee,Chaos Warrior,4,0,13913825,The Emperor says...,Chaos Dwarf,4,1,0,0,0,0,0,0,0,0,0,0,2
10004355fa,1,Catastrophy,Chaos,Mittens,Beastman,4,0,13913833,The Emperor says...,Chaos Dwarf,0,0,0,0,0,0,0,0,0,0,0,0,0
10004355fa,1,Catastrophy,Chaos,Pantherlily II,Beastman,1,0,21003760,The Emperor says...,Chaos Dwarf,1,1,0,0,0,0,0,0,0,0,0,0,2
10004355fa,1,Catastrophy,Chaos,Cole,Chaos Warrior,4,0,13913827,The Emperor says...,Chaos Dwarf,0,0,0,0,0,0,0,0,0,0,0,0,0
10004355fa,1,Catastrophy,Chaos,Charle,Beastman,2,0,17682670,The Emperor says...,Chaos Dwarf,1,0,0,0,0,0,0,0,0,0,0,0,1
10004355fa,1,Catastrophy,Chaos,Nyth Neth Dhaar,Chaos Warrior,5,2,12109807,The Emperor says...,Chaos Dwarf,2,2,0,1,0,0,0,0,0,0,0,0,3
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Lineman,2,5,17061755,Bay Area Butchers,Human,3,1,0,0,0,0,0,0,0,0,0,0,2
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Blitzer,3,3,18791652,Bay Area Butchers,Human,0,0,0,0,0,1,0,0,0,0,62,0,5
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Blitzer,4,3,17061752,Bay Area Butchers,Human,7,2,0,0,0,1,0,0,0,0,36,0,7
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Lineman,2,2,17061754,Bay Area Butchers,Human,3,3,0,1,0,0,0,0,0,0,0,0,4
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Black Orc,3,0,17061747,Bay Area Butchers,Human,3,0,0,0,0,0,0,0,0,0,0,0,1
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Lineman,2,0,19296916,Bay Area Butchers,Human,4,0,0,0,0,0,0,0,0,0,0,0,1
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Blitzer,4,2,17061751,Bay Area Butchers,Human,7,2,1,1,0,0,0,0,0,0,0,0,5
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Black Orc,3,0,17061745,Bay Area Butchers,Human,2,0,0,0,0,0,0,0,0,0,0,0,1
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Blitzer,3,0,17061749,Bay Area Butchers,Human,6,2,1,0,0,0,0,0,0,0,0,0,4
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Black Orc,2,0,17061746,Bay Area Butchers,Human,6,0,0,0,0,0,0,0,0,0,0,0,2
10004357bc,1,SAFE  MOVES FIRST,Orc,Sergent O'Leary,Black Orc,3,0,14613756,Bay Area Butchers,Human,3,0,0,0,0,0,0,0,0,0,0,0,1
10004357bc,1,SAFE  MOVES FIRST,Orc,NO POTATO,Lineman,1,0,21936469,Bay Area Butchers,Human,1,0,0,0,0,0,0,0,0,0,0,0,1
10004357bc,1,Bay Area Butchers,Human,Garnett,Lineman,3,5,12385113,SAFE  MOVES FIRST,Orc,2,0,0,0,0,0,0,0,0,0,0,0,1
10004357bc,1,Bay Area Butchers,Human,Aaron Lutolf,Lineman,1,0,46,SAFE  MOVES FIRST,Orc,0,0,0,0,0,0,0,0,0,0,0,0,0
