Coach,FTeam,Round,Player,Team,Race,Type,playerID,Special
Schlice,test team,2,Shira,Serpent Lords,Dark Elf,Blitzer,25254255,
Schlice,test team,2,Imlerith,Interdeadmensional BS,Undead,Wight,25144530,
Schlice,test team,2,Squirrely III,Interdeadmensional BS,Undead,Mummy,25144529,
Schlice,test team,2,One Hundred Thirty,RaBBL Leader People,Amazon,Blitzer,25233032,
Schlice,test team,2,Kro'ssa,Ice Kinks,Lizardmen,Kroxigor,26070201,
Schlice,test team,2,Ófeigr Kormák,"Overpowered, Underdressed",Norse,Lineman,25263174,
Schlice,test team,2,Caligula,Serpent Lords,Dark Elf,Lineman,25254274,
Schlice,test team,2,Loq of Huatl,Ice Kinks,Lizardmen,Skink,25149845,
Schlice,test team,2,Chance,Serpent Lords,Dark Elf,Lineman,25254259,
Schlice,test team,2,Mördbera,"Overpowered, Underdressed",Norse,Lineman,25263171,
Schlice,test team,2,Toruviel,Interdeadmensional BS,Undead,Zombie,25144533,
Schlice,test team,2,Deathrow McElf IV,Interdeadmensional BS,Undead,Zombie,25144534,r
Schlice,test team,2,Kardel the Sick,Errekako Usaintzuak,Nurgle,Rotter,25505536,r
