match_uuid,league,comp,Round,Team,Race,Name,Type,Level,SPP_gain,playerID,Opponent,Opponent_Race,BLK,AVBr,KO,CAS,Kills,TD,Pass,Pass_m,Catch,Int,Carry_m,Surf,FP,old_injuries,new_injuries
10004c5f2b,REBBL - Big O,Season 9 - Division 4B,1,The Way of the Leaf,Halfling,The Black Wind,Halfling,1,5,26116847,Bulldoserz,Chaos Dwarf,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA
10004c5f2b,REBBL - Big O,Season 9 - Division 4B,1,The Way of the Leaf,Halfling,The Wolf,Halfling,1,0,26116705,Bulldoserz,Chaos Dwarf,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,-ST
10004c5f2b,REBBL - Big O,Season 9 - Division 4B,1,The Way of the Leaf,Halfling,The Warder,Halfling,1,0,26116844,Bulldoserz,Chaos Dwarf,2,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
10004c5f2b,REBBL - Big O,Season 9 - Division 4B,1,The Way of the Leaf,Halfling,The Blacksmith,Halfling,1,3,26116704,Bulldoserz,Chaos Dwarf,1,0,0,0,0,1,0,0,0,0,50,0,5,NA,NA
10004c5f2b,REBBL - Big O,Season 9 - Division 4B,1,The Way of the Leaf,Halfling,The Farmer,Halfling,1,0,26116701,Bulldoserz,Chaos Dwarf,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
10004c5f2b,REBBL - Big O,Season 9 - Division 4B,1,The Way of the Leaf,Halfling,The Spears,Halfling,1,0,26292371,Bulldoserz,Chaos Dwarf,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
10004c5f2b,REBBL - Big O,Season 9 - Division 4B,1,The Way of the Leaf,Halfling,The Falcon,Halfling,1,0,26116845,Bulldoserz,Chaos Dwarf,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,BH
10004c5f2b,REBBL - Big O,Season 9 - Division 4B,1,The Way of the Leaf,Halfling,The Pips,Halfling,1,0,26319859,Bulldoserz,Chaos Dwarf,0,2,1,0,0,0,0,0,0,0,0,0,2,NA,NA
10004c5f2b,REBBL - Big O,Season 9 - Division 4B,1,The Way of the Leaf,Halfling,The Peddler,Halfling,1,0,26116702,Bulldoserz,Chaos Dwarf,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA
10004c5f2b,REBBL - Big O,Season 9 - Division 4B,1,The Way of the Leaf,Halfling,The Dark Root,Treeman,1,2,26292369,Bulldoserz,Chaos Dwarf,7,4,1,1,0,0,0,0,0,0,0,0,6,NA,NA
